,0,1,2,3
0,0.0,-1.729,-6.0,0.0
1,0.0,1.472,-6.0,0.0
2,0.0,14.43,-6.0,0.0
3,0.0,-1.952,-6.0,0.0
4,0.0,,-6.0,0.0
5,0.0,-2.203,-6.0,0.0
6,0.0,-2.18,-6.0,0.0
7,0.0,,-6.0,0.0
8,0.0,-1.555,-6.0,0.0
9,0.0,0.491,-6.0,0.0
10,0.0,,-6.0,0.0
11,0.0,0.265,-6.0,0.0
12,0.0,-1.874,-6.0,0.0
13,0.0,,-6.0,0.0
14,0.0,0.821,-6.0,0.0
15,0.0,0.814,-6.0,0.0
16,0.0,-3.696,-6.0,0.0
17,0.0,-1.631,-6.0,0.0
18,0.0,7.79,-6.0,0.0
19,0.0,-3.651,-6.0,0.0
20,0.0,-1.574,-6.0,0.0
21,0.0,2.809,-6.0,0.0
22,0.0,,-6.0,0.0
23,0.0,2.349,-6.0,0.0
24,0.0,4.036,-6.0,0.0
25,0.0,10.698,-6.0,0.0
26,0.0,-1.285,-6.0,0.0
27,0.0,2.444,-6.0,0.0
28,0.0,1.371,-6.0,0.0
29,0.0,2.416,-6.0,0.0
30,0.0,-1.445,-6.0,0.0
31,0.0,-1.652,-6.0,0.0
32,0.0,-1.067,-6.0,0.0
33,0.0,-1.525,-6.0,0.0
34,0.0,2.067,-6.0,0.0
35,0.0,-3.633,-6.0,0.0
36,0.0,,-6.0,0.0
37,0.0,1.371,-6.0,0.0
38,0.0,-3.53,-6.0,0.0
39,0.0,-3.726,-6.0,0.0
40,0.0,,-6.0,0.0
41,0.0,-1.65,-6.0,0.0
42,0.0,2.76,-6.0,0.0
43,0.0,-3.678,-6.0,0.0
44,0.0,-1.156,-6.0,0.0
45,0.0,,-6.0,0.0
46,0.0,1.677,-6.0,0.0
47,0.0,-3.693,-6.0,0.0
48,0.0,6.025,-6.0,0.0
49,0.0,-3.287,-6.0,0.0
